open,high,low,close,volume,timestamp
23565.75,23595.30078125,23344.75,23396.55078125,0,2025-01-10 03:45:00+00:00
23396.599609375,23557.650390625,23380.94921875,23557.650390625,0,2025-01-10 04:45:00+00:00
23557.400390625,23596.349609375,23477.75,23523.400390625,0,2025-01-10 05:45:00+00:00
23520.099609375,23566.0,23494.150390625,23517.75,0,2025-01-10 06:45:00+00:00
23516.55078125,23536.30078125,23441.25,23441.25,0,2025-01-10 07:45:00+00:00
23440.94921875,23454.650390625,23396.849609375,23412.19921875,0,2025-01-10 08:45:00+00:00
23414.599609375,23449.400390625,23413.55078125,23437.349609375,0,2025-01-10 09:45:00+00:00
23195.400390625,23274.0,23173.650390625,23268.94921875,0,2025-01-13 03:45:00+00:00
23273.19921875,23340.849609375,23258.5,23275.94921875,0,2025-01-13 04:45:00+00:00
23275.0,23298.599609375,23210.19921875,23214.599609375,0,2025-01-13 05:45:00+00:00
23215.099609375,23234.69921875,23166.599609375,23174.849609375,0,2025-01-13 06:45:00+00:00
23177.44921875,23191.400390625,23101.900390625,23114.599609375,0,2025-01-13 07:45:00+00:00
23116.400390625,23137.849609375,23048.150390625,23091.099609375,0,2025-01-13 08:45:00+00:00
23090.849609375,23101.80078125,23082.75,23091.0,0,2025-01-13 09:45:00+00:00
23171.349609375,23226.400390625,23139.900390625,23156.19921875,0,2025-01-14 03:45:00+00:00
23155.75,23264.94921875,23134.55078125,23260.05078125,0,2025-01-14 04:45:00+00:00
23260.30078125,23261.349609375,23169.69921875,23181.099609375,0,2025-01-14 05:45:00+00:00
23180.55078125,23199.30078125,23144.099609375,23168.19921875,0,2025-01-14 06:45:00+00:00
23168.400390625,23184.849609375,23145.05078125,23182.44921875,0,2025-01-14 07:45:00+00:00
23182.150390625,23198.94921875,23151.900390625,23173.25,0,2025-01-14 08:45:00+00:00
23172.900390625,23223.05078125,23168.94921875,23206.849609375,0,2025-01-14 09:45:00+00:00
23250.44921875,23269.44921875,23165.44921875,23219.599609375,0,2025-01-15 03:45:00+00:00
23219.650390625,23293.400390625,23215.0,23256.5,0,2025-01-15 04:45:00+00:00
23257.400390625,23264.19921875,23204.69921875,23221.900390625,0,2025-01-15 05:45:00+00:00
23221.5,23266.349609375,23198.0,23213.099609375,0,2025-01-15 06:45:00+00:00
23212.349609375,23212.650390625,23147.94921875,23182.19921875,0,2025-01-15 07:45:00+00:00
23181.5,23227.69921875,23159.25,23214.400390625,0,2025-01-15 08:45:00+00:00
23214.55078125,23229.30078125,23190.849609375,23228.55078125,0,2025-01-15 09:45:00+00:00
23378.80078125,23384.599609375,23292.650390625,23308.0,0,2025-01-16 03:45:00+00:00
23308.19921875,23320.30078125,23273.80078125,23289.55078125,0,2025-01-16 04:45:00+00:00
23288.25,23308.80078125,23282.400390625,23298.900390625,0,2025-01-16 05:45:00+00:00
23300.05078125,23328.80078125,23290.30078125,23318.0,0,2025-01-16 06:45:00+00:00
23317.80078125,23340.900390625,23311.44921875,23333.349609375,0,2025-01-16 07:45:00+00:00
23333.400390625,23333.400390625,23290.69921875,23309.650390625,0,2025-01-16 08:45:00+00:00
23309.44921875,23353.25,23304.44921875,23350.80078125,0,2025-01-16 09:45:00+00:00
