open,high,low,close,volume,timestamp
25514.599609375,25548.69921875,25424.349609375,25476.099609375,239100,2025-07-09
25511.650390625,25524.05078125,25340.44921875,25355.25,219600,2025-07-10
25255.5,25322.44921875,25129.0,25149.849609375,250000,2025-07-11
25149.5,25151.099609375,25001.94921875,25082.30078125,259500,2025-07-14
25089.5,25245.19921875,25088.44921875,25195.80078125,241300,2025-07-15
25196.599609375,25255.30078125,25121.05078125,25212.05078125,228800,2025-07-16
25230.75,25238.349609375,25101.0,25111.44921875,243400,2025-07-17
25108.55078125,25144.599609375,24918.650390625,24968.400390625,317000,2025-07-18
24999.0,25111.400390625,24882.30078125,25090.69921875,305200,2025-07-21
25166.650390625,25182.0,25035.55078125,25060.900390625,483700,2025-07-22
25139.349609375,25233.5,25085.5,25219.900390625,271500,2025-07-23
25243.30078125,25246.25,25018.69921875,25062.099609375,338700,2025-07-24
25010.349609375,25010.349609375,24806.349609375,24837.0,278100,2025-07-25
24782.44921875,24889.19921875,24646.599609375,24680.900390625,262100,2025-07-28
24609.650390625,24847.150390625,24598.599609375,24821.099609375,284700,2025-07-29
24890.400390625,24902.30078125,24771.94921875,24855.05078125,243900,2025-07-30
24642.25,24956.5,24635.0,24768.349609375,346300,2025-07-31
24734.900390625,24784.150390625,24535.05078125,24565.349609375,263400,2025-08-01
24596.05078125,24736.25,24554.0,24722.75,259300,2025-08-04
24720.25,24733.099609375,24590.30078125,24649.55078125,251800,2025-08-05
24641.349609375,24671.400390625,24539.19921875,24574.19921875,225100,2025-08-06
24464.19921875,24634.19921875,24344.150390625,24596.150390625,616700,2025-08-07
24544.25,24585.5,24337.5,24363.30078125,312600,2025-08-08
24371.5,24600.849609375,24347.44921875,24585.05078125,241100,2025-08-11
24563.349609375,24702.599609375,24465.650390625,24487.400390625,237000,2025-08-12
24586.19921875,24664.55078125,24535.25,24619.349609375,236000,2025-08-13
24607.25,24673.650390625,24596.900390625,24631.30078125,270200,2025-08-14
24938.19921875,25022.0,24852.849609375,24876.94921875,363100,2025-08-18
24891.349609375,25012.650390625,24873.94921875,24980.650390625,252300,2025-08-19
24965.80078125,25088.69921875,24929.69921875,25050.55078125,287100,2025-08-20
25142.0,25153.650390625,25054.900390625,25083.75,226500,2025-08-21
25064.150390625,25084.849609375,24859.150390625,24870.099609375,210200,2025-08-22
24949.150390625,25021.55078125,24894.349609375,24967.75,213000,2025-08-25
24899.5,24919.650390625,24689.599609375,24712.05078125,750500,2025-08-26
24695.80078125,24702.650390625,24481.599609375,24500.900390625,326600,2025-08-28
24466.69921875,24572.44921875,24404.69921875,24426.849609375,325500,2025-08-29
24432.69921875,24635.599609375,24432.69921875,24625.05078125,229300,2025-09-01
24653.0,24756.099609375,24522.349609375,24579.599609375,271600,2025-09-02
24616.5,24737.05078125,24533.19921875,24715.05078125,340300,2025-09-03
24980.75,24980.75,24708.19921875,24734.30078125,314100,2025-09-04
24818.849609375,24832.349609375,24621.599609375,24741.0,210100,2025-09-05
24802.599609375,24885.5,24751.55078125,24773.150390625,213200,2025-09-08
24864.099609375,24891.80078125,24814.0,24868.599609375,226900,2025-09-09
24991.0,25035.69921875,24915.05078125,24973.099609375,244100,2025-09-10
24945.5,25037.30078125,24940.150390625,25005.5,224600,2025-09-11
25074.44921875,25139.44921875,25038.05078125,25114.0,225700,2025-09-12
25118.900390625,25138.44921875,25048.75,25069.19921875,185400,2025-09-15
25073.599609375,25261.400390625,25070.44921875,25239.099609375,240100,2025-09-16
25276.599609375,25346.5,25275.349609375,25330.25,268900,2025-09-17
25441.05078125,25448.94921875,25329.75,25423.599609375,272200,2025-09-18
25410.19921875,25428.75,25286.30078125,25327.05078125,380400,2025-09-19
