asset_class,model_name,fold_name,train_samples,test_samples,calibrated_threshold,is_win_rate,oos_win_rate,wfe,oos_profit_factor,oos_mean_return,oos_max_dd,oos_trade_count,passed_fold_gate
OPTIONS,RandomForest_Robust,Fold 2 (2024–H1 2025 -> Q3 2025),1448,256,0.5029,86.21,16.67,0.193,0.43,-0.36,2.73,6,False
OPTIONS,RandomForest_Robust,Fold 3 (2024–2025 -> 2026 Live),1952,636,0.4707,83.16,39.18,0.471,0.93,-0.05,50.8,171,False
OPTIONS,ExtraTrees_Robust,Fold 1 (2024 -> Q1 2025),956,248,0.4488,87.5,0.0,0.0,0.0,-0.9,4.5,6,False
OPTIONS,ExtraTrees_Robust,Fold 2 (2024–H1 2025 -> Q3 2025),1448,256,0.4166,84.83,0.0,0.0,0.0,0.0,0.0,0,False
OPTIONS,ExtraTrees_Robust,Fold 3 (2024–2025 -> 2026 Live),1952,636,0.4087,79.59,37.69,0.474,0.87,-0.09,49.05,199,False
OPTIONS,LightGBM_Regularized,Fold 1 (2024 -> Q1 2025),956,248,0.5761,97.92,57.14,0.584,2.52,0.49,1.69,14,True
OPTIONS,LightGBM_Regularized,Fold 2 (2024–H1 2025 -> Q3 2025),1448,256,0.5383,90.34,40.0,0.443,1.09,0.04,2.87,10,False
OPTIONS,LightGBM_Regularized,Fold 3 (2024–2025 -> 2026 Live),1952,636,0.5063,86.73,38.26,0.441,0.95,-0.04,35.1,149,False
OPTIONS,XGBoost_Regularized,Fold 1 (2024 -> Q1 2025),956,248,0.6035,96.91,63.64,0.657,3.17,0.61,1.18,11,True
OPTIONS,XGBoost_Regularized,Fold 2 (2024–H1 2025 -> Q3 2025),1448,256,0.5607,94.44,50.0,0.529,2.01,0.34,1.0,8,False
OPTIONS,XGBoost_Regularized,Fold 3 (2024–2025 -> 2026 Live),1952,636,0.4881,86.69,38.22,0.441,0.9,-0.07,45.8,191,False
OPTIONS,CatBoost_Regularized,Fold 1 (2024 -> Q1 2025),956,248,0.5319,93.75,33.33,0.356,0.72,-0.17,3.82,9,False
OPTIONS,CatBoost_Regularized,Fold 2 (2024–H1 2025 -> Q3 2025),1448,256,0.4868,86.9,0.0,0.0,0.0,-0.74,0.31,2,False
OPTIONS,CatBoost_Regularized,Fold 3 (2024–2025 -> 2026 Live),1952,636,0.4579,80.51,39.01,0.485,0.92,-0.06,50.09,182,False
