open,high,low,close,volume,timestamp
38986.80078125,38999.75,38540.6484375,38680.8515625,24200,2025-07-09
38713.80078125,38715.19921875,38197.3515625,38376.6484375,22300,2025-07-10
37702.55078125,37990.80078125,37558.1015625,37693.25,40700,2025-07-11
37643.3515625,37664.19921875,37016.1015625,37273.69921875,30900,2025-07-14
37077.0,37664.8984375,37048.94921875,37424.6015625,38900,2025-07-15
37325.69921875,37758.5,37258.05078125,37660.75,30700,2025-07-16
37552.8515625,37666.55078125,37060.69921875,37138.55078125,32600,2025-07-17
37366.69921875,37419.6015625,36951.8515625,37141.8984375,49800,2025-07-18
37109.80078125,37164.8515625,36780.05078125,37031.75,25900,2025-07-21
36963.6484375,37121.0,36827.3984375,36858.8984375,24800,2025-07-22
36958.30078125,37086.6015625,36745.19921875,36951.5,25700,2025-07-23
36949.30078125,36974.05078125,36097.6484375,36135.80078125,48500,2025-07-24
35998.0,36271.1015625,35531.6484375,35623.75,34100,2025-07-25
35521.69921875,35566.55078125,35049.8984375,35370.05078125,28700,2025-07-28
35270.8984375,35438.75,35101.5,35373.25,37000,2025-07-29
35453.05078125,35531.55078125,35258.0,35481.69921875,20900,2025-07-30
35218.8515625,35589.0,34999.25,35301.6484375,25100,2025-07-31
35118.6015625,35166.3984375,34586.8984375,34649.6015625,24500,2025-08-01
34558.69921875,35219.8515625,34324.8515625,35203.3515625,23000,2025-08-04
35196.75,35196.75,34854.30078125,35034.5,27900,2025-08-05
34957.94921875,34990.3515625,34347.44921875,34426.25,25900,2025-08-06
34284.94921875,34808.05078125,34224.55078125,34726.80078125,25200,2025-08-07
34603.0,34643.75,34350.8515625,34398.5,30100,2025-08-08
34367.25,34624.3984375,34228.0,34544.6484375,17400,2025-08-11
34589.8515625,35072.5,34561.30078125,34674.30078125,29700,2025-08-12
34756.6484375,34842.1484375,34552.8515625,34692.94921875,24700,2025-08-13
34732.25,35332.19921875,34732.25,34833.19921875,37800,2025-08-14
35152.69921875,35158.69921875,34514.0,34634.94921875,21900,2025-08-18
34618.8515625,34825.30078125,34549.05078125,34756.69921875,16700,2025-08-19
34647.19921875,35773.6484375,34647.19921875,35690.05078125,41800,2025-08-20
35918.80078125,35922.55078125,35461.44921875,35723.8984375,24200,2025-08-21
35735.44921875,35767.1484375,35415.3984375,35440.8515625,27600,2025-08-22
35795.5,36445.30078125,35795.5,36280.1015625,39100,2025-08-25
36106.80078125,36324.30078125,35998.94921875,36063.19921875,46100,2025-08-26
36017.1484375,36018.94921875,35444.19921875,35488.80078125,22800,2025-08-28
35491.6015625,35575.19921875,35130.3515625,35181.25,28100,2025-08-29
35255.30078125,35787.69921875,35255.30078125,35740.6484375,14500,2025-09-01
35767.0,36061.1015625,35541.19921875,35737.8984375,16900,2025-09-02
35807.94921875,35832.0,35293.1015625,35474.94921875,15400,2025-09-03
35580.6015625,35599.30078125,35093.3984375,35143.1015625,17400,2025-09-04
35234.75,35331.5,34343.3984375,34635.8515625,23500,2025-09-05
34744.8984375,34912.8515625,34259.3984375,34310.44921875,19600,2025-09-08
34773.05078125,35304.8515625,34770.3515625,35255.94921875,35900,2025-09-09
35428.8984375,36255.19921875,35426.6015625,36183.80078125,36500,2025-09-10
36265.94921875,36278.19921875,35829.8515625,36003.5,22600,2025-09-11
36331.44921875,36356.6484375,36025.30078125,36110.75,24600,2025-09-12
36139.69921875,36151.44921875,35686.1484375,35902.19921875,15700,2025-09-15
35962.30078125,36274.0,35860.5,36212.1484375,23600,2025-09-16
36326.30078125,36608.8984375,36253.8984375,36447.1484375,22100,2025-09-17
36801.5,37064.94921875,36631.05078125,36750.25,31300,2025-09-18
36765.5,36821.19921875,36369.94921875,36578.25,37200,2025-09-19
35437.8984375,35781.6015625,35145.1015625,35500.1484375,51000,2025-09-22
35477.6015625,35642.69921875,35177.3515625,35249.1015625,29900,2025-09-23
35104.05078125,35193.30078125,34857.69921875,34994.30078125,23600,2025-09-24
34914.0,35092.3984375,34460.30078125,34548.30078125,29200,2025-09-25
34399.19921875,34477.30078125,33636.55078125,33702.0,37000,2025-09-26
33900.6015625,33970.05078125,33606.44921875,33693.1015625,31900,2025-09-29
33789.69921875,33922.6015625,33634.30078125,33655.1015625,28800,2025-09-30
33702.8515625,34016.6015625,33432.1015625,33905.19921875,24200,2025-10-01
33921.1015625,33992.1484375,33763.1015625,33949.75,28900,2025-10-03
33961.3984375,34743.75,33926.6484375,34722.55078125,20400,2025-10-06
34820.6015625,34879.19921875,34533.75,34709.44921875,21000,2025-10-07
34664.3984375,35394.55078125,34607.30078125,35232.25,23300,2025-10-08
35315.3984375,35688.3515625,35174.80078125,35628.5,21200,2025-10-09
35705.6484375,35821.30078125,35321.8515625,35609.05078125,25100,2025-10-10
35397.19921875,35505.3515625,35072.3984375,35330.80078125,20300,2025-10-13
35542.8515625,35766.25,35148.3984375,35214.8515625,26300,2025-10-14
35327.19921875,35571.6015625,35226.1484375,35401.80078125,36000,2025-10-15
35443.69921875,35574.25,35229.6015625,35531.05078125,27600,2025-10-16
35356.5,35356.5,34872.94921875,34950.69921875,73000,2025-10-17
35109.75,35377.8515625,35077.8515625,35292.6015625,25600,2025-10-20
35500.8984375,35564.19921875,35221.55078125,35299.75,4700,2025-10-21
35936.75,36462.0,35859.75,36078.6484375,57100,2025-10-23
36211.3984375,36268.6484375,35886.1484375,35986.3515625,23100,2025-10-24
36075.55078125,36279.3984375,35962.80078125,36129.1015625,29100,2025-10-27
36088.6484375,36193.1484375,35677.6015625,35860.3984375,27100,2025-10-28
35916.1015625,36201.55078125,35778.19921875,36090.1015625,23400,2025-10-29
