Open,High,Low,Close,Volume,Dividends,Stock Splits,sma_20,sma_50,sma_200,ema_12,ema_26,macd,macd_signal,macd_diff,rsi,bb_high,bb_mid,bb_low,bb_width,atr,stoch_k,stoch_d,volume_sma,volume_ratio,returns,log_returns,volatility_20,symbol,timestamp
43656.25,43872.8515625,43513.8515625,43583.94921875,227400,0.0,0.0,43390.124609375,44211.57296875,43265.785,43710.44906602167,43743.09616487121,-32.64709884954209,-157.46636976811956,124.81927091857747,47.31055675533857,44420.81824708553,43390.124609375,42359.43097166447,4.7508212847484454,455.9728460284881,58.777595013418754,79.00697909323627,171715.0,1.324287336575139,-0.013079286218029229,-0.013079286218029229,0.007275219701280244,BANKNIFTY,2023-11-17 00:00:00+05:30
43591.5,43724.0,43450.05078125,43584.94921875,124300,0.0,0.0,43381.6470703125,44192.628984375,43275.47150390625,43691.141397210646,43731.38157626964,-40.24017905899382,-134.02113162629442,93.7809525673006,47.327334916689885,44402.95962813589,43381.6470703125,42360.33451248911,4.708500607033459,442.971158365739,54.349388775481906,66.78385423647889,170100.0,0.7307466196355086,2.294422643944749e-05,2.294422643944749e-05,0.007246832114652917,BANKNIFTY,2023-11-20 00:00:00+05:30
43790.94921875,43790.94921875,43586.44921875,43689.1484375,108200,0.0,0.0,43379.951953125,44178.229921875,43292.1907421875,43690.8347880244,43728.25319562003,-37.41840759563638,-114.70058682016281,77.28217922452643,49.14455433032078,44399.10256342491,43379.951953125,42360.801342825085,4.698717100476155,426.04464705390046,60.03929071932732,57.72209150274268,167890.0,0.6444695931860146,0.0023907156166922405,0.0023907156166922405,0.007267744339819135,BANKNIFTY,2023-11-21 00:00:00+05:30
43663.6015625,43692.5,43230.94921875,43449.6015625,150900,0.0,0.0,43394.8720703125,44149.654921875,43307.50150390625,43653.72198409757,43707.61233390743,-53.890349809866166,-102.53853941810348,48.64818960823732,45.277213106499936,44408.91456341007,43394.8720703125,42380.82957721493,4.673559085297098,428.580799496479,40.20636157279163,51.53168035586697,165365.0,0.9125268345780546,-0.005482983385283524,-0.005482983385283524,0.006727431598965761,BANKNIFTY,2023-11-22 00:00:00+05:30
43452.75,43649.6484375,43451.3515625,43577.5,72300,0.0,0.0,43432.1470703125,44118.076953125,43322.11375,43641.99552500564,43697.97438324762,-55.97885824198602,-93.22660318287998,37.247744940893966,47.64610635656921,44415.01535952543,43432.1470703125,42449.27878109957,4.5259944787982,412.25694774673053,29.709590575121993,43.31841428908033,159565.0,0.4531068843418043,0.0029436043807220535,0.0029436043807220535,0.006492646147052733,BANKNIFTY,2023-11-23 00:00:00+05:30
43607.3515625,43806.5,43566.1484375,43769.1015625,96800,0.0,0.0,43506.5947265625,44082.045,43338.3942578125,43661.55030000477,43703.24306319225,-41.692763187478704,-82.91983518379973,41.22707199632103,51.06374767375985,44343.94038745564,43506.5947265625,42669.24906566936,3.849281545272973,399.9779916576784,45.22288602941177,38.379612725775154,149050.0,0.6494464944649446,0.004396800240950016,0.004396800240950016,0.005660620257277743,BANKNIFTY,2023-11-24 00:00:00+05:30
43851.55078125,43960.30078125,43739.80078125,43880.94921875,151200,0.0,0.0,43561.5421875,44049.436953125,43354.4525,43695.303979811724,43716.40648212245,-21.102502310728596,-70.55636860918551,49.453866298456916,52.9928443520502,44343.90502888142,43561.5421875,42779.17934611859,3.5919887225935456,387.1581351107014,54.621848739495796,43.18477511467654,145915.0,1.0362197169585032,0.002555402150311137,0.002555402150311137,0.0051435281432720085,BANKNIFTY,2023-11-28 00:00:00+05:30
44081.75,44630.3515625,44003.44921875,44566.44921875,152300,0.0,0.0,43637.9072265625,44022.576953125,43369.78625,43829.32632426377,43779.37261076153,49.953713502240134,-46.45435218690038,96.40806568914051,62.69832192926908,44495.901236502934,43637.9072265625,42779.913216622066,3.932333443424944,413.0327214420799,95.43359748999991,65.09277741963585,144080.0,1.0570516379789006,0.015621813388373429,0.015621813388373429,0.005988242082667912,BANKNIFTY,2023-11-29 00:00:00+05:30
44711.19921875,44764.80078125,44254.6015625,44481.75,343200,0.0,0.0,43719.697265625,43992.194921875,43385.3217578125,43929.69919745396,43831.400565519936,98.29863193402707,-17.50375536271489,115.80238729674195,61.02185507192966,44571.9706414635,43719.697265625,42867.4238897865,3.898807307197928,419.97318553550275,81.54640330458965,77.2006165113618,153370.0,2.23772576123101,-0.0019005153032107813,-0.0019005153032107813,0.005872892070491505,BANKNIFTY,2023-11-30 00:00:00+05:30
44580.1484375,44951.1015625,44531.75,44814.19921875,204900,0.0,0.0,43825.359765625,43963.84890625,43401.9380078125,44065.7761238072,43904.2004657592,161.57565804800106,18.3121273194283,143.26353072857276,64.97995168912811,44670.18462322254,43825.359765625,42980.534908027454,3.8554155042450766,423.5002124615383,92.04126633042586,89.67375570833849,156355.0,1.3104793578715104,0.0074738340724005425,0.0074738340724005425,0.0058613828788820176,BANKNIFTY,2023-12-01 00:00:00+05:30
