asset_class,candidate_model,passing_folds,mean_oos_win_rate_pct,mean_oos_profit_factor,mean_wfe,gate_majority_wfe_passed,gate_mean_win_rate_passed,gate_mean_profit_factor_passed,final_decision,ml_enabled,production_mode,timestamp
EQUITY,RidgeClassifier,1/3,40.17,1.0,0.776,False,False,False,REJECT,False,RULES_BASED_TECHNICAL_MOMENTUM_ONLY,2026-09-01T17:52:11.983239+00:00
OPTIONS,XGBoost_Regularized,1/3,50.62,2.03,0.542,False,True,True,REJECT,False,RULES_BASED_TECHNICAL_MOMENTUM_ONLY,2026-09-01T17:52:14.059920+00:00
