timestamp,open,high,low,close,volume
2025-11-24 03:45:00,59298.6,59359.8,59298.2,59313.0,16380.0
2025-11-24 03:46:00,59313.0,59330.0,59305.2,59309.8,4830.0
2025-11-24 03:47:00,59306.0,59319.4,59302.0,59310.0,2695.0
2025-11-24 03:48:00,59312.6,59345.0,59310.8,59345.0,4130.0
2025-11-24 03:49:00,59344.0,59348.8,59323.4,59330.2,3220.0
2025-11-24 03:50:00,59330.2,59350.0,59330.0,59343.8,2590.0
2025-11-24 03:51:00,59350.0,59370.0,59350.0,59370.0,1680.0
2025-11-24 03:52:00,59370.0,59389.0,59369.0,59385.0,4375.0
2025-11-24 03:53:00,59388.8,59415.8,59388.0,59415.8,6230.0
2025-11-24 03:54:00,59417.4,59425.0,59388.0,59388.0,5460.0
2025-11-24 03:55:00,59388.0,59410.2,59388.0,59410.0,2485.0
2025-11-24 03:56:00,59406.8,59410.0,59394.6,59410.0,1540.0
2025-11-24 03:57:00,59410.0,59414.4,59386.6,59386.6,4270.0
2025-11-24 03:58:00,59402.8,59410.2,59389.4,59391.2,1890.0
2025-11-24 03:59:00,59409.8,59414.0,59388.6,59398.6,3535.0
2025-11-24 04:00:00,59400.0,59408.2,59380.0,59387.6,1260.0
2025-11-24 04:01:00,59382.4,59392.8,59371.4,59372.2,1855.0
2025-11-24 04:02:00,59372.2,59372.2,59334.4,59334.4,3360.0
2025-11-24 04:03:00,59326.6,59335.6,59300.0,59300.0,5355.0
2025-11-24 04:04:00,59299.8,59317.8,59293.6,59317.8,6965.0
2025-11-24 04:05:00,59311.0,59322.4,59278.0,59280.0,3815.0
2025-11-24 04:06:00,59277.2,59290.0,59266.0,59268.0,4130.0
2025-11-24 04:07:00,59267.8,59295.8,59267.8,59280.0,2975.0
2025-11-24 04:08:00,59277.0,59280.0,59270.0,59280.0,2940.0
2025-11-24 04:09:00,59280.0,59310.0,59280.0,59310.0,1785.0
2025-11-24 04:10:00,59310.0,59325.0,59308.0,59320.2,875.0
2025-11-24 04:11:00,59320.2,59325.8,59291.0,59299.4,665.0
2025-11-24 04:12:00,59295.0,59318.2,59292.4,59297.2,980.0
2025-11-24 04:13:00,59319.0,59319.0,59287.6,59287.6,1960.0
2025-11-24 04:14:00,59287.2,59305.0,59282.6,59283.8,1225.0
2025-11-24 04:15:00,59297.2,59297.2,59282.6,59282.8,315.0
2025-11-24 04:16:00,59299.6,59304.0,59271.4,59273.0,1470.0
2025-11-24 04:17:00,59273.0,59324.8,59270.0,59302.4,4480.0
2025-11-24 04:18:00,59327.8,59360.0,59327.8,59359.6,4620.0
2025-11-24 04:19:00,59360.0,59360.0,59354.2,59359.0,2275.0
2025-11-24 04:20:00,59355.0,59398.0,59355.0,59375.4,1190.0
2025-11-24 04:21:00,59394.8,59405.4,59394.8,59400.0,5425.0
