Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-12-26 00:00:00+05:30,887.2816657547127,893.916952377888,878.5003382709294,883.4336547851562,10481678,0.0,0.0
2024-12-27 00:00:00+05:30,885.4316968356189,890.9322967259654,882.6196702111419,887.1336669921875,7259330,0.0,0.0
2024-12-30 00:00:00+05:30,884.1489668763874,895.3969526845203,873.6903598921683,877.0943603515625,22222218,0.0,0.0
2024-12-31 00:00:00+05:30,873.3450677348718,879.0183818635131,871.0263727843891,874.60302734375,14117236,0.0,0.0
2025-01-01 00:00:00+05:30,874.8989303590305,885.0369191568942,868.8062969452952,879.4869384765625,7313806,0.0,0.0
2025-01-02 00:00:00+05:30,876.699651347947,889.6989281059142,874.6770036544534,884.9136352539062,18558576,0.0,0.0
2025-01-03 00:00:00+05:30,883.5569553072743,885.6536147489581,861.5050553855514,862.9356689453125,24426194,0.0,0.0
2025-01-06 00:00:00+05:30,858.4464162412277,866.8823756490298,841.5251763034672,843.8438110351562,18816348,0.0,0.0
2025-01-07 00:00:00+05:30,846.063732614296,849.0237223493897,838.6637582765616,845.2744140625,13527906,0.0,0.0
2025-01-08 00:00:00+05:30,842.7338203435289,844.4111600559388,830.4498497882179,835.8518676757812,19738190,0.0,0.0
2025-01-09 00:00:00+05:30,830.844525028491,833.237171528912,817.9932112311335,822.778564453125,40420222,0.0,0.0
2025-01-10 00:00:00+05:30,824.3571854708366,826.2811909461473,815.9705474379197,817.3272094726562,17453280,0.0,0.0
2025-01-13 00:00:00+05:30,809.0639234971638,812.3939122066796,801.3186405131205,804.5499267578125,21669066,0.0,0.0
2025-01-14 00:00:00+05:30,809.0145872775671,817.0558570637163,807.5839134440961,812.3198852539062,26661432,0.0,0.0
2025-01-15 00:00:00+05:30,817.2038286822469,820.2624606383587,807.2385540448483,810.5685424804688,14022892,0.0,0.0
2025-01-16 00:00:00+05:30,815.4031740939097,819.201863784551,810.469857784879,815.008544921875,21212454,0.0,0.0
2025-01-17 00:00:00+05:30,810.7905598983193,814.2438814190301,803.3905852110819,807.4605712890625,23112076,0.0,0.0
