open,high,low,close,volume,timestamp
83717.3671875,83724.78125,83330.7421875,83350.7421875,0,2025-07-10 03:45:00+00:00
83354.828125,83412.0078125,83228.09375,83295.421875,0,2025-07-10 04:45:00+00:00
83295.328125,83306.25,83152.796875,83183.921875,0,2025-07-10 05:45:00+00:00
83182.4296875,83349.8828125,83174.140625,83250.828125,0,2025-07-10 06:45:00+00:00
83250.390625,83388.046875,83172.4296875,83295.1015625,0,2025-07-10 07:45:00+00:00
83294.7421875,83350.5703125,83140.7109375,83182.5234375,0,2025-07-10 08:45:00+00:00
83182.0078125,83208.0625,83182.0078125,83190.28125,0,2025-07-10 09:45:00+00:00
82844.90625,83038.9765625,82798.9609375,82825.28125,0,2025-07-11 03:45:00+00:00
82827.4296875,82828.8203125,82487.421875,82592.21875,0,2025-07-11 04:45:00+00:00
82591.90625,82591.90625,82452.796875,82532.78125,0,2025-07-11 05:45:00+00:00
82532.53125,82624.703125,82464.5078125,82513.203125,0,2025-07-11 06:45:00+00:00
82516.5,82612.34375,82485.5390625,82564.171875,0,2025-07-11 07:45:00+00:00
82558.6875,82576.9296875,82498.1171875,82502.21875,0,2025-07-11 08:45:00+00:00
82505.5625,82534.78125,82500.8515625,82500.8515625,0,2025-07-11 09:45:00+00:00
82527.8828125,82527.8828125,82109.4375,82361.3984375,0,2025-07-14 03:45:00+00:00
82361.3984375,82383.0390625,82161.4609375,82179.6484375,0,2025-07-14 04:45:00+00:00
82179.6484375,82194.7578125,82059.34375,82138.7578125,0,2025-07-14 05:45:00+00:00
82138.859375,82173.59375,82010.3828125,82069.5390625,0,2025-07-14 06:45:00+00:00
82067.2578125,82167.6015625,82034.3984375,82116.453125,0,2025-07-14 07:45:00+00:00
82116.453125,82314.8203125,82091.9609375,82252.3125,0,2025-07-14 08:45:00+00:00
82252.078125,82254.6015625,82245.28125,82253.421875,0,2025-07-14 09:45:00+00:00
82233.15625,82462.3828125,82233.15625,82392.1328125,0,2025-07-15 03:45:00+00:00
82388.546875,82743.4921875,82312.640625,82684.5390625,0,2025-07-15 04:45:00+00:00
82684.25,82704.1875,82598.7890625,82635.4921875,0,2025-07-15 05:45:00+00:00
82635.453125,82675.7421875,82543.171875,82608.921875,0,2025-07-15 06:45:00+00:00
82608.15625,82621.2578125,82493.0625,82550.390625,0,2025-07-15 07:45:00+00:00
82550.7734375,82602.1875,82447.109375,82591.4765625,0,2025-07-15 08:45:00+00:00
82589.7265625,82589.7265625,82522.7109375,82570.90625,0,2025-07-15 09:45:00+00:00
82606.171875,82623.1484375,82371.7265625,82424.3203125,0,2025-07-16 03:45:00+00:00
82424.0390625,82461.25,82343.0078125,82411.3125,0,2025-07-16 04:45:00+00:00
82408.953125,82613.8984375,82351.34375,82547.5390625,0,2025-07-16 05:45:00+00:00
82547.6875,82704.9765625,82518.2734375,82652.9921875,0,2025-07-16 06:45:00+00:00
82652.9921875,82765.8671875,82565.0703125,82740.28125,0,2025-07-16 07:45:00+00:00
82740.9765625,82784.53125,82635.8125,82643.25,0,2025-07-16 08:45:00+00:00
82641.4375,82655.75,82634.4296875,82634.4296875,0,2025-07-16 09:45:00+00:00
82713.53125,82713.53125,82455.5390625,82455.5390625,0,2025-07-17 03:45:00+00:00
82455.4921875,82560.5,82403.59375,82519.4921875,0,2025-07-17 04:45:00+00:00
82519.4921875,82589.7109375,82481.09375,82524.921875,0,2025-07-17 05:45:00+00:00
82527.8203125,82572.5703125,82431.578125,82441.359375,0,2025-07-17 06:45:00+00:00
82439.84375,82497.0703125,82367.921875,82392.0,0,2025-07-17 07:45:00+00:00
82393.0234375,82414.6796875,82219.59375,82281.671875,0,2025-07-17 08:45:00+00:00
82281.1796875,82281.1796875,82256.40625,82259.2265625,0,2025-07-17 09:45:00+00:00
82193.6171875,82272.9375,81887.4375,81925.59375,0,2025-07-18 03:45:00+00:00
81923.109375,81923.109375,81629.84375,81728.4609375,0,2025-07-18 04:45:00+00:00
81733.2109375,81796.4921875,81623.15625,81649.2109375,0,2025-07-18 05:45:00+00:00
81648.6796875,81804.2734375,81608.71875,81707.5390625,0,2025-07-18 06:45:00+00:00
81707.5390625,81798.09375,81654.3203125,81754.9765625,0,2025-07-18 07:45:00+00:00
81753.9921875,81873.1328125,81708.7109375,81753.21875,0,2025-07-18 08:45:00+00:00
81756.3203125,81757.7265625,81750.28125,81757.7265625,0,2025-07-18 09:45:00+00:00
81892.6171875,82152.9765625,81524.359375,82102.8984375,0,2025-07-21 03:45:00+00:00
82100.2421875,82161.546875,82030.9609375,82127.5078125,0,2025-07-21 04:45:00+00:00
82127.5078125,82150.890625,81927.171875,82058.7734375,0,2025-07-21 05:45:00+00:00
82059.328125,82103.0,81961.71875,82069.390625,0,2025-07-21 06:45:00+00:00
82069.390625,82083.953125,81882.1171875,81985.96875,0,2025-07-21 07:45:00+00:00
81986.2734375,82199.25,81921.0,82191.109375,0,2025-07-21 08:45:00+00:00
82193.6015625,82200.34375,82161.8203125,82200.34375,0,2025-07-21 09:45:00+00:00
82538.171875,82538.171875,82245.640625,82329.609375,0,2025-07-22 03:45:00+00:00
82329.6171875,82385.1796875,82151.390625,82208.8515625,0,2025-07-22 04:45:00+00:00
82208.8515625,82266.828125,82110.78125,82227.921875,0,2025-07-22 05:45:00+00:00
82227.6171875,82379.40625,82213.9921875,82291.9765625,0,2025-07-22 06:45:00+00:00
82291.9765625,82336.3515625,82207.8125,82270.2890625,0,2025-07-22 07:45:00+00:00
82270.2890625,82287.671875,82137.34375,82181.0,0,2025-07-22 08:45:00+00:00
82182.7109375,82187.3515625,82178.0703125,82186.8125,0,2025-07-22 09:45:00+00:00
82439.140625,82474.7265625,82279.78125,82351.21875,0,2025-07-23 03:45:00+00:00
82350.6015625,82467.5390625,82311.7109375,82416.3125,0,2025-07-23 04:45:00+00:00
82417.359375,82538.53125,82363.6171875,82508.40625,0,2025-07-23 05:45:00+00:00
82508.40625,82632.3671875,82503.953125,82539.921875,0,2025-07-23 06:45:00+00:00
82539.921875,82689.46875,82492.7109375,82689.46875,0,2025-07-23 07:45:00+00:00
82690.9609375,82785.421875,82657.828125,82771.5,0,2025-07-23 08:45:00+00:00
82770.046875,82770.046875,82727.9609375,82727.9609375,0,2025-07-23 09:45:00+00:00
82779.953125,82779.953125,82456.640625,82471.9609375,0,2025-07-24 03:45:00+00:00
82473.3828125,82575.4765625,82458.8671875,82464.640625,0,2025-07-24 04:45:00+00:00
82460.6015625,82460.6015625,82048.3984375,82140.7265625,0,2025-07-24 05:45:00+00:00
82143.0078125,82255.8125,82078.9921875,82179.8203125,0,2025-07-24 06:45:00+00:00
82180.1171875,82303.8984375,82122.90625,82273.140625,0,2025-07-24 07:45:00+00:00
82271.359375,82304.9609375,82168.046875,82213.5625,0,2025-07-24 08:45:00+00:00
82200.90625,82201.5625,82184.46875,82184.46875,0,2025-07-24 09:45:00+00:00
82002.5390625,82004.0390625,81722.59375,81772.703125,0,2025-07-25 03:45:00+00:00
81772.703125,81772.703125,81540.8203125,81613.8984375,0,2025-07-25 04:45:00+00:00
81614.1015625,81764.8125,81505.109375,81543.65625,0,2025-07-25 05:45:00+00:00
81548.5625,81641.328125,81440.5625,81558.7890625,0,2025-07-25 06:45:00+00:00
81559.3671875,81608.296875,81406.8984375,81482.34375,0,2025-07-25 07:45:00+00:00
81482.34375,81534.21875,81398.40625,81480.9375,0,2025-07-25 08:45:00+00:00
81483.421875,81483.421875,81463.0703125,81463.09375,0,2025-07-25 09:45:00+00:00
81285.90625,81477.5390625,81095.453125,81422.0078125,0,2025-07-28 03:45:00+00:00
81421.578125,81556.828125,81210.2578125,81317.4375,0,2025-07-28 04:45:00+00:00
81316.7109375,81378.953125,81230.3671875,81245.53125,0,2025-07-28 05:45:00+00:00
81244.1484375,81277.5625,80970.578125,80986.7890625,0,2025-07-28 06:45:00+00:00
80986.7890625,81002.71875,80778.4765625,80885.3671875,0,2025-07-28 07:45:00+00:00
80886.171875,81001.5,80869.40625,80885.890625,0,2025-07-28 08:45:00+00:00
80887.3125,80907.75,80887.3125,80891.0234375,0,2025-07-28 09:45:00+00:00
80643.1875,80990.71875,80619.4765625,80809.921875,0,2025-07-29 03:45:00+00:00
80806.390625,80833.3125,80628.8515625,80760.2734375,0,2025-07-29 04:45:00+00:00
80761.8515625,80931.109375,80760.6015625,80884.203125,0,2025-07-29 05:45:00+00:00
80884.046875,81036.2890625,80861.53125,81026.96875,0,2025-07-29 06:45:00+00:00
81027.1328125,81279.59375,81008.453125,81258.6171875,0,2025-07-29 07:45:00+00:00
81257.796875,81349.3203125,81155.0078125,81296.21875,0,2025-07-29 08:45:00+00:00
81296.890625,81340.078125,81284.8125,81337.953125,0,2025-07-29 09:45:00+00:00
81594.5234375,81594.5234375,81309.8515625,81405.8671875,0,2025-07-30 03:45:00+00:00
81405.4921875,81451.1796875,81187.1015625,81414.8203125,0,2025-07-30 04:45:00+00:00
81417.2578125,81605.09375,81412.390625,81451.390625,0,2025-07-30 05:45:00+00:00
81451.5,81549.09375,81419.1484375,81455.7109375,0,2025-07-30 06:45:00+00:00
81455.7109375,81558.9296875,81409.1171875,81511.4296875,0,2025-07-30 07:45:00+00:00
81511.15625,81608.8828125,81470.2265625,81499.421875,0,2025-07-30 08:45:00+00:00
81499.640625,81504.5703125,81481.9296875,81481.9296875,0,2025-07-30 09:45:00+00:00
80695.5,81050.828125,80695.5,80882.5625,0,2025-07-31 03:45:00+00:00
80877.7109375,81200.421875,80857.0078125,81105.3125,0,2025-07-31 04:45:00+00:00
81110.5625,81345.171875,81095.328125,81337.09375,0,2025-07-31 05:45:00+00:00
81335.1484375,81698.1015625,81335.1484375,81625.1328125,0,2025-07-31 06:45:00+00:00
81626.1328125,81802.609375,81606.6328125,81686.296875,0,2025-07-31 07:45:00+00:00
81692.078125,81696.421875,81146.90625,81165.46875,0,2025-07-31 08:45:00+00:00
81245.109375,81245.109375,81185.578125,81185.578125,0,2025-07-31 09:45:00+00:00
81037.7265625,81182.078125,80893.71875,81174.3671875,0,2025-08-01 03:45:00+00:00
81174.25,81314.8984375,81037.2421875,81051.7578125,0,2025-08-01 04:45:00+00:00
81052.15625,81076.8203125,80841.8203125,80897.7109375,0,2025-08-01 05:45:00+00:00
80895.5,81018.96875,80777.0078125,80889.15625,0,2025-08-01 06:45:00+00:00
80890.640625,81007.96875,80768.0078125,80858.578125,0,2025-08-01 07:45:00+00:00
80857.78125,80884.3515625,80497.71875,80531.25,0,2025-08-01 08:45:00+00:00
80532.2890625,80635.078125,80532.2890625,80600.109375,0,2025-08-01 09:45:00+00:00
80692.71875,80900.2265625,80502.6015625,80724.53125,0,2025-08-04 03:45:00+00:00
80724.15625,80872.1328125,80659.40625,80863.546875,0,2025-08-04 04:45:00+00:00
80863.8515625,80926.828125,80776.4765625,80908.1484375,0,2025-08-04 05:45:00+00:00
80910.1171875,81044.9765625,80870.2265625,80959.171875,0,2025-08-04 06:45:00+00:00
80965.2890625,81091.953125,80810.25,81029.25,0,2025-08-04 07:45:00+00:00
81035.203125,81066.6875,80928.3671875,81021.4765625,0,2025-08-04 08:45:00+00:00
81020.4375,81020.4375,81004.1015625,81018.671875,0,2025-08-04 09:45:00+00:00
80954.546875,81008.9296875,80559.0625,80667.4765625,0,2025-08-05 03:45:00+00:00
