Open,High,Low,Close,Volume,Dividends,Stock Splits,sma_20,sma_50,sma_200,ema_12,ema_26,macd,macd_signal,macd_diff,rsi,bb_high,bb_mid,bb_low,bb_width,atr,stoch_k,stoch_d,volume_sma,volume_ratio,returns,log_returns,volatility_20,symbol,timestamp
19496.94921875,19647.94921875,19469.849609375,19554.30078125,1458200,0.0,0.0,19417.53505859375,19724.8948828125,19274.196484375,19542.95873741468,19553.400599547906,-10.441862133226095,-61.75154482843213,51.309682695206035,49.902545821463306,19844.636509115615,19417.53505859375,18990.433608071882,4.399131498751601,202.2963996594021,67.18466850920863,82.93218154014619,1068395.0,1.364851014840017,-0.009018191982667956,-0.009018191982667956,0.007103801580269614,FINNIFTY,2023-11-17 00:00:00+05:30
19552.80078125,19592.5,19483.099609375,19518.599609375,987300,0.0,0.0,19412.95751953125,19720.171875,19279.346728515626,19539.21117925473,19550.822748423987,-11.611569169257564,-51.72354969659722,40.111980527339654,48.62358742831416,19833.617131379866,19412.95751953125,18992.297907682634,4.333802424750511,195.6609704426591,57.067015246033186,70.56489290781894,1076265.0,0.917339131161935,-0.0018257452554495401,-0.0018257452554495401,0.007063353708383658,FINNIFTY,2023-11-20 00:00:00+05:30
19619.0,19635.400390625,19584.599609375,19612.099609375,1260000,0.0,0.0,19413.25,19717.2338671875,19287.252978515626,19550.42478388862,19555.3617751611,-4.936991272479645,-42.3662380117737,37.42924673929406,52.08697524874685,19834.454563899355,19413.25,18992.045436100645,4.339351359502968,190.0280997860406,69.45849403359821,64.57005926294669,1102815.0,1.1425307055127107,0.004790302679045233,0.004790302679045233,0.007151329076976905,FINNIFTY,2023-11-21 00:00:00+05:30
19604.599609375,19615.69921875,19467.25,19566.30078125,1015400,0.0,0.0,19421.325,19709.3458984375,19294.628232421874,19552.867245021138,19556.172071908426,-3.3048268872880726,-34.55395578687658,31.249128899588506,50.29835330403691,19847.732191096016,19421.325,18994.917808903985,4.39112358292769,187.05817971203768,57.365614572375065,61.29704128400215,1102525.0,0.9209768485975375,-0.0023352333017474525,-0.0023352333017474525,0.006758216742321228,FINNIFTY,2023-11-22 00:00:00+05:30
19563.69921875,19642.400390625,19561.69921875,19587.25,789600,0.0,0.0,19439.48251953125,19698.32890625,19302.089482421874,19558.15689963327,19558.47414065595,-0.31724102267980925,-27.706612834037227,27.389371811357417,51.125101834322315,19861.656607722187,19439.48251953125,19017.308431340316,4.343470437207044,179.4612505808207,47.490710426416534,58.10493967746327,1094640.0,0.7213330409997808,0.0010706785602556668,0.0010706785602556668,0.006356831901323018,FINNIFTY,2023-11-23 00:00:00+05:30
19595.44921875,19665.400390625,19576.94921875,19652.0,681700,0.0,0.0,19475.94755859375,19685.262890625,19309.925478515626,19572.594299689692,19565.401982088846,7.192317600845854,-20.72682674706061,27.919144347906464,53.689238676495556,19834.46102326728,19475.94755859375,19117.434093920223,3.681602279888394,172.96053067326207,60.80824311567277,55.22152270482146,1052365.0,0.6477790500444237,0.003305721834356623,0.003305721834356623,0.005018930493624547,FINNIFTY,2023-11-24 00:00:00+05:30
19685.44921875,19739.400390625,19645.849609375,19702.650390625,939500,0.0,0.0,19504.62255859375,19673.23890625,19318.327978515626,19592.602929064356,19575.568530869303,17.034398195053654,-13.174581758637759,30.20897995369141,55.6493599177854,19838.490888209166,19504.62255859375,19170.754228978334,3.4234790097828705,167.28840571445764,71.22582200172735,59.84159184793888,1054160.0,0.8912309326857403,0.002577365694331313,0.002577365694331313,0.004556559580507224,FINNIFTY,2023-11-28 00:00:00+05:30
19786.75,20022.55078125,19766.150390625,20000.349609375,1029700,0.0,0.0,19542.57001953125,19665.5108984375,19326.091474609377,19655.333187573688,19607.0337959438,48.299391629887396,-0.8797870809327275,49.179178710820125,65.02052997167664,19918.06955639781,19542.57001953125,19167.070482664687,3.842887977285283,178.18926177949638,96.29641696994973,76.11016069578328,1069105.0,0.9631420674302337,0.015109602659937105,0.015109602659937105,0.00541234908213102,FINNIFTY,2023-11-29 00:00:00+05:30
20051.599609375,20099.30078125,19903.349609375,20054.650390625,2192300,0.0,0.0,19585.07255859375,19658.439921875,19334.506728515626,19716.766603427735,19640.190580734998,76.57602269273775,14.611374873801369,61.964647818936385,66.41451656588461,19989.26867503184,19585.07255859375,19180.876442155663,4.127593760286894,179.45796964346093,93.39687766272402,86.9730388781337,1125110.0,1.948520589097955,0.0027149916031741217,0.0027149916031741217,0.00533692076914034,FINNIFTY,2023-11-30 00:00:00+05:30
20096.69921875,20255.30078125,20074.150390625,20211.0,1660100,0.0,0.0,19638.392578125,19652.0329296875,19343.5834765625,19792.8025105927,19682.47275993981,110.32975065289065,33.75505002961923,76.57470062327143,70.10829972422965,20076.06386024752,19638.392578125,19200.72129600248,4.4573025045851935,180.97171399928516,94.67667401258429,94.78998954841934,1159370.0,1.4318983585913039,0.007796177262112236,0.007796177262112236,0.005324150071733452,FINNIFTY,2023-12-01 00:00:00+05:30
20571.30078125,20884.30078125,20493.05078125,20862.900390625,1949800,0.0,0.0,19717.94013671875,19661.1259375,19355.468232421874,19957.432953674594,19769.91184369427,187.52110998032367,64.50826201976011,123.01284796056356,79.99006593021028,20380.716587968018,19717.94013671875,19055.16368546948,6.7225729123200475,216.1380759457648,98.48979366807713,95.52111511446181,1176810.0,1.6568519981985197,0.03225473210751573,0.03225473210751573,0.008467492428576275,FINNIFTY,2023-12-04 00:00:00+05:30
21068.05078125,21161.80078125,20938.25,21055.80078125,1933300,0.0,0.0,19802.36015625,19680.151953125,19368.188232421875,20126.412619455423,19865.162876105805,261.24974334961735,103.85655828573155,157.3931850638858,81.89714054238301,20665.009716418423,19802.36015625,18939.71059608158,8.712593381412198,222.04966985142445,93.74465485644471,95.63704084570203,1229330.0,1.5726452620533136,0.009246096516459579,0.009246096516459579,0.008546766992634534,FINNIFTY,2023-12-05 00:00:00+05:30
21161.150390625,21161.150390625,20993.5,21026.75,1349000,0.0,0.0,19876.8201171875,19704.38796875,19380.740986328125,20264.926062616127,19951.206366764633,313.7196958514942,145.82918579888408,167.8905100526101,80.6505078104391,20880.70677284419,19876.8201171875,18872.93346153081,10.101079043208006,218.164007049537,92.03029010730627,94.75491287727603,1248150.0,1.0807995833834074,-0.001379704412660887,-0.001379704412660887,0.008563354047214507,FINNIFTY,2023-12-06 00:00:00+05:30
20992.44921875,21075.25,20911.05078125,21023.44921875,1403500,0.0,0.0,19949.96259765625,19730.19796875,19393.713486328124,20381.62193279057,20030.631763207995,350.9901695825756,186.8613825556224,164.1287870269532,80.50056959028306,21058.719426274165,19949.96259765625,18841.205769038334,11.115377517030273,214.30937931385577,91.83550212653151,92.53681569676083,1259490.0,1.1143399312420106,-0.00015698009678144498,-0.00015698009678144498,0.008589351045550612,FINNIFTY,2023-12-07 00:00:00+05:30
