open,high,low,close,volume,timestamp
57199.75,57290.6484375,57037.8984375,57213.55078125,91100,2025-07-09
57339.75,57363.69921875,56886.6015625,56956.0,102000,2025-07-10
56843.44921875,57091.05078125,56607.75,56754.69921875,95500,2025-07-11
56780.75,56896.30078125,56594.25,56765.3515625,123000,2025-07-14
56709.19921875,57134.94921875,56707.80078125,57006.6484375,124600,2025-07-15
57111.25,57276.55078125,56937.6015625,57168.94921875,161300,2025-07-16
57231.94921875,57262.8515625,56780.1484375,56828.80078125,129800,2025-07-17
56524.25,56705.1484375,56204.8515625,56283.0,141200,2025-07-18
56558.8984375,56983.44921875,56255.69921875,56952.75,133700,2025-07-21
57253.3515625,57286.1484375,56692.0,56756.0,132800,2025-07-22
56918.1484375,57249.0,56715.80078125,57210.44921875,129800,2025-07-23
57316.6015625,57316.6015625,56850.8984375,57066.05078125,179800,2025-07-24
57170.69921875,57170.69921875,56439.3984375,56528.8984375,125100,2025-07-25
56215.1015625,56578.3984375,55997.44921875,56084.8984375,145700,2025-07-28
55881.80078125,56296.3984375,55843.25,56222.0,145100,2025-07-29
56310.1015625,56321.1484375,56064.55078125,56150.69921875,139700,2025-07-30
55728.1484375,56406.19921875,55547.3515625,55961.94921875,182800,2025-07-31
55897.1484375,56097.6015625,55562.1015625,55617.6015625,98900,2025-08-01
55557.5,55752.44921875,55437.30078125,55619.3515625,131100,2025-08-04
55545.05078125,55648.1484375,55202.8515625,55360.25,105700,2025-08-05
55329.80078125,55559.3984375,55227.69921875,55411.1484375,117600,2025-08-06
55215.6484375,55614.80078125,54973.55078125,55521.1484375,95500,2025-08-07
55609.3515625,55652.6015625,54905.6015625,55004.8984375,97300,2025-08-08
54999.3515625,55582.1484375,54927.55078125,55510.75,105200,2025-08-11
55441.1015625,55566.69921875,55001.5,55043.69921875,74700,2025-08-12
55340.05078125,55340.05078125,55026.94921875,55181.44921875,80100,2025-08-13
55102.55078125,55472.80078125,55074.30078125,55341.8515625,74200,2025-08-14
55940.6015625,56156.30078125,55647.6484375,55734.8984375,101700,2025-08-18
55622.30078125,55965.55078125,55608.1484375,55865.1484375,89300,2025-08-19
55751.5,55812.6015625,55577.3515625,55698.5,69100,2025-08-20
55972.05078125,55993.6484375,55708.19921875,55755.44921875,70300,2025-08-21
55669.25,55745.0,55102.6015625,55149.3984375,77100,2025-08-22
55147.75,55306.0,55048.3984375,55139.30078125,79900,2025-08-25
54999.05078125,55068.8984375,54396.1015625,54450.44921875,123800,2025-08-26
54256.0,54382.25,53768.44921875,53820.3515625,134300,2025-08-28
53660.3515625,54086.0,53606.44921875,53655.6484375,103900,2025-08-29
53658.1484375,54035.8515625,53658.1484375,54002.44921875,78000,2025-09-01
54038.25,54160.94921875,53578.0,53661.0,77500,2025-09-02
53630.75,54136.1484375,53561.75,54067.55078125,100100,2025-09-03
54379.6015625,54450.55078125,53971.8515625,54075.44921875,120000,2025-09-04
54308.05078125,54308.05078125,53719.55078125,54114.55078125,79900,2025-09-05
54215.3984375,54518.69921875,54067.1484375,54186.8984375,76300,2025-09-08
54330.55078125,54350.6484375,54079.44921875,54216.1015625,93800,2025-09-09
54554.75,54705.19921875,54400.0,54536.0,116900,2025-09-10
54413.05078125,54757.44921875,54402.3984375,54669.6015625,96900,2025-09-11
54781.55078125,54852.25,54580.3515625,54809.30078125,80100,2025-09-12
54884.05078125,55018.69921875,54807.5,54887.8515625,72000,2025-09-15
54778.3984375,55185.44921875,54777.75,55147.6015625,98700,2025-09-16
55158.3515625,55540.75,55146.55078125,55493.30078125,155300,2025-09-17
55797.1015625,55835.25,55490.8984375,55727.44921875,134300,2025-09-18
55647.94921875,55688.75,55355.30078125,55458.8515625,190000,2025-09-19
55429.30078125,55666.3515625,55215.6015625,55284.75,118600,2025-09-22
55248.69921875,55662.0,55159.0,55509.75,171200,2025-09-23
55387.1015625,55511.1015625,55040.44921875,55121.5,172000,2025-09-24
55061.6484375,55276.6484375,54903.30078125,54976.19921875,158400,2025-09-25
54797.8984375,54897.0,54310.94921875,54389.3515625,127700,2025-09-26
54460.3984375,54686.05078125,54226.6015625,54461.0,218300,2025-09-29
54705.5,54793.05078125,54502.94921875,54635.8515625,206900,2025-09-30
54653.8984375,55406.75,54582.55078125,55347.94921875,173000,2025-10-01
55182.6015625,55616.44921875,55177.0,55589.25,156900,2025-10-03
55834.69921875,56164.19921875,55727.25,56104.8515625,162600,2025-10-06
56126.3984375,56502.44921875,56025.05078125,56239.3515625,153700,2025-10-07
56098.5,56303.6015625,55821.0,56018.25,133600,2025-10-08
55979.0,56286.25,55843.8984375,56192.05078125,118000,2025-10-09
56168.6015625,56760.25,56152.44921875,56609.75,163000,2025-10-10
56337.05078125,56770.8984375,56327.3984375,56625.0,123500,2025-10-13
56598.6484375,56721.30078125,56230.1484375,56496.44921875,129800,2025-10-14
56528.94921875,56922.69921875,56491.8515625,56799.8984375,123700,2025-10-15
57139.94921875,57525.80078125,56994.69921875,57422.55078125,148600,2025-10-16
57362.8984375,57830.19921875,57238.6484375,57713.3515625,147200,2025-10-17
57872.8515625,58261.55078125,57872.8515625,58033.19921875,341700,2025-10-20
58063.3984375,58155.55078125,57887.19921875,58007.19921875,39000,2025-10-21
58314.55078125,58577.5,57951.44921875,58078.05078125,291600,2025-10-23
58172.75,58232.8984375,57482.05078125,57699.6015625,132100,2025-10-24
57796.44921875,58224.55078125,57652.75,58114.25,153000,2025-10-27
58006.55078125,58313.80078125,57770.3515625,58214.1015625,256100,2025-10-28
58316.25,58469.8984375,58087.05078125,58385.25,151800,2025-10-29
58152.05078125,58331.19921875,57999.19921875,58031.1015625,223000,2025-10-30
57942.44921875,58254.94921875,57656.94921875,57776.3515625,307900,2025-10-31
57726.8515625,58247.55078125,57718.3984375,58101.44921875,27800,2025-11-03
57966.6484375,58119.6484375,57732.94921875,57827.05078125,168600,2025-11-04
57714.80078125,57945.05078125,57521.0,57554.25,170400,2025-11-06
57391.3984375,58001.3515625,57157.8515625,57876.80078125,142400,2025-11-07
57846.19921875,58097.19921875,57846.19921875,57937.55078125,123400,2025-11-10
